Date,Scenario,Warsh_Return,60/40_Return,SPY_Return,CPI_YoY
2021-02-28,B2,-0.002289785886772734,0.00723006796793144,0.027805364743663352,1.7
2021-03-31,B2,0.007437811593305475,0.017696807063853636,0.04539951324112712,2.6
2021-04-30,B1_watch,0.03842227543845825,0.03575123686810535,0.0529104165856471,4.2
2021-05-31,A2,0.02608644529825599,0.0056391512284439844,0.00656609436506872,5.0
2021-06-30,A2,-0.011449540747241548,0.01754658288727611,0.02242719930366399,5.4
2021-07-31,A1_A2_transition,0.014186824474280503,0.022608589734862284,0.024412599518764955,5.4
2021-08-31,A1_A2_transition,0.013409077645631923,0.016278348528859697,0.029760165935273086,5.3
2021-09-30,A1,-0.026842894423104516,-0.034351683303873726,-0.04660559815837839,5.4
2021-10-31,A1,0.035576183986654075,0.04032622726140693,0.07016351328014947,6.2
2021-11-30,A1,-0.00816919238517716,-0.00045240148960579065,-0.00803502171691306,6.8
2021-12-31,A1,0.03173590036694694,0.025652385326159297,0.04624772138539757,7.0
2022-01-31,A1,-0.025814220483599094,-0.04009680722521176,-0.05274115862430995,7.5
2022-02-28,A1,-0.0008820253928352485,-0.01892664633754135,-0.029516988411700362,7.9
2022-03-31,A1,0.026784694479743597,0.006310661376112359,0.037590364935501386,8.5
2022-04-30,A1,-0.03860132172980353,-0.06957462581241054,-0.08776916201079121,8.3
2022-05-31,A1,-0.0031411383309538523,0.0038279831671725884,0.0022573032143073934,8.6
2022-06-30,A1,-0.043087548124116984,-0.052929983599264485,-0.08246038676857781,9.1
2022-07-31,A1,0.03843639162446109,0.06709823793514547,0.09208746343013763,8.5
2022-08-31,A1,-0.021734494944134975,-0.03989644789224729,-0.040801943256898565,8.3
2022-09-30,A1,-0.04376421319297086,-0.07440762031386983,-0.09244589359731215,8.2
2022-10-31,A1,0.04303333064932785,0.042949418936457824,0.08127557694936627,7.7
2022-11-30,A1,0.037628426336441125,0.04780387966784576,0.05559154192874005,7.1
2022-12-31,A1,-0.020332782588795284,-0.04052918156969003,-0.057628238270933,6.5
2023-01-31,A1,0.035318574567095126,0.05205706907677343,0.0628874294541355,6.4
2023-02-28,A1,-0.018455965690681152,-0.02816869664211552,-0.025142674605052928,6.0
2023-03-31,A1,0.029531797984723808,0.03713074872287758,0.0370777425786708,5.0
2023-04-30,A1_cautious,0.010487092295417267,0.012844146402037281,0.01597483283615908,4.9
2023-05-31,A1_cautious,-0.00019324112787019124,-0.0029836493008476243,0.004616207466471733,4.0
2023-06-30,B1,0.045103303014547735,0.03385885409079234,0.06479989639706574,3.0
2023-07-31,B1,0.021547261510397292,0.017033284616362106,0.03273323876487799,3.2
2023-08-31,B1,-0.01358648406243051,-0.012674824193241108,-0.016252000965543134,3.7
2023-09-30,B1,-0.04112533633339686,-0.04101595443074433,-0.04743455514965489,3.7
2023-10-31,B1,-0.020376872398333013,-0.020736023721046548,-0.02170849182204826,3.2
2023-11-30,B1,0.0759008761268856,0.0730240126915553,0.09134383608718455,3.1
2023-12-31,B1,0.04167016924729522,0.04248233887367747,0.045655319116733706,3.4
2024-01-31,B1,0.010156709613771693,0.009846378093613104,0.015926412525066214,3.1
2024-02-29,B1,0.03347389163271699,0.022981595433215977,0.052186974582298484,3.2
2024-03-31,B1,0.024560885826028663,0.02255390339006351,0.03270191886315854,3.5
2024-04-30,B1,-0.03525686815019817,-0.036710777508763615,-0.04031967945514814,3.4
2024-05-31,B1,0.03946635993482379,0.03754831852305074,0.05057970997391559,3.3
2024-06-30,B1,0.027061290294508454,0.026036032692439634,0.03528004425537823,3.0
2024-07-31,B1,0.014364766712960076,0.01885445277733302,0.01210917131402578,2.9
2024-08-31,B1,0.019531000958536316,0.019402413188039216,0.02336566124174788,2.5
2024-09-30,B1,0.017933942832401347,0.01813271417861766,0.021004548991797156,2.4
2024-10-31,B1,-0.012843111137522411,-0.018903640299929948,-0.008923558620233862,2.6
2024-11-30,B1,0.04458031819795626,0.039863882998842914,0.05963352184722481,2.7
2024-12-31,B1,-0.019748803060707327,-0.02061269091129634,-0.020496739080361426,2.9
